Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220705194423,192.168.1.2,37274,192.168.1.3,5001,1,0.0-1.0,195565108,1564520864
20220705194424,192.168.1.2,37274,192.168.1.3,5001,1,1.0-2.0,197027912,1576223296
20220705194425,192.168.1.2,37274,192.168.1.3,5001,1,2.0-3.0,183172000,1465376000
20220705194426,192.168.1.2,37274,192.168.1.3,5001,1,3.0-4.0,189654696,1517237568
20220705194427,192.168.1.2,37274,192.168.1.3,5001,1,4.0-5.0,194143496,1553147968
20220705194428,192.168.1.2,37274,192.168.1.3,5001,1,5.0-6.0,190231000,1521848000
20220705194429,192.168.1.2,37274,192.168.1.3,5001,1,6.0-7.0,197822864,1582582912
20220705194430,192.168.1.2,37274,192.168.1.3,5001,1,7.0-8.0,192139464,1537115712
20220705194431,192.168.1.2,37274,192.168.1.3,5001,1,8.0-9.0,192963376,1543707008
20220705194432,192.168.1.2,37274,192.168.1.3,5001,1,9.0-10.0,191376368,1531010944
20220705194433,192.168.1.2,37274,192.168.1.3,5001,1,10.0-11.0,192980752,1543846016
20220705194434,192.168.1.2,37274,192.168.1.3,5001,1,11.0-12.0,192685360,1541482880
20220705194435,192.168.1.2,37274,192.168.1.3,5001,1,12.0-13.0,194622784,1556982272
20220705194436,192.168.1.2,37274,192.168.1.3,5001,1,13.0-14.0,194198520,1553588160
20220705194437,192.168.1.2,37274,192.168.1.3,5001,1,14.0-15.0,191502344,1532018752
20220705194438,192.168.1.2,37274,192.168.1.3,5001,1,15.0-16.0,192744728,1541957824
20220705194439,192.168.1.2,37274,192.168.1.3,5001,1,16.0-17.0,191991768,1535934144
20220705194440,192.168.1.2,37274,192.168.1.3,5001,1,17.0-18.0,153444560,1227556480
20220705194441,192.168.1.2,37274,192.168.1.3,5001,1,18.0-19.0,194199968,1553599744
20220705194442,192.168.1.2,37274,192.168.1.3,5001,1,19.0-20.0,193632352,1549058816
20220705194443,192.168.1.2,37274,192.168.1.3,5001,1,20.0-21.0,194244856,1553958848
20220705194444,192.168.1.2,37274,192.168.1.3,5001,1,21.0-22.0,189899408,1519195264
20220705194445,192.168.1.2,37274,192.168.1.3,5001,1,22.0-23.0,190999888,1527999104
20220705194446,192.168.1.2,37274,192.168.1.3,5001,1,23.0-24.0,193338408,1546707264
20220705194447,192.168.1.2,37274,192.168.1.3,5001,1,24.0-25.0,188309504,1506476032
20220705194448,192.168.1.2,37274,192.168.1.3,5001,1,25.0-26.0,192301640,1538413120
20220705194449,192.168.1.2,37274,192.168.1.3,5001,1,26.0-27.0,195110760,1560886080
20220705194450,192.168.1.2,37274,192.168.1.3,5001,1,27.0-28.0,196644192,1573153536
20220705194451,192.168.1.2,37274,192.168.1.3,5001,1,28.0-29.0,193943672,1551549376
20220705194452,192.168.1.2,37274,192.168.1.3,5001,1,29.0-30.0,197437696,1579501568
20220705194453,192.168.1.2,37274,192.168.1.3,5001,1,30.0-31.0,186793448,1494347584
20220705194454,192.168.1.2,37274,192.168.1.3,5001,1,31.0-32.0,187042504,1496340032
20220705194455,192.168.1.2,37274,192.168.1.3,5001,1,32.0-33.0,191734024,1533872192
20220705194456,192.168.1.2,37274,192.168.1.3,5001,1,33.0-34.0,192694048,1541552384
20220705194457,192.168.1.2,37274,192.168.1.3,5001,1,34.0-35.0,194556176,1556449408
20220705194458,192.168.1.2,37274,192.168.1.3,5001,1,35.0-36.0,196815056,1574520448
20220705194459,192.168.1.2,37274,192.168.1.3,5001,1,36.0-37.0,172755088,1382040704
20220705194500,192.168.1.2,37274,192.168.1.3,5001,1,37.0-38.0,190875360,1527002880
20220705194501,192.168.1.2,37274,192.168.1.3,5001,1,38.0-39.0,192353768,1538830144
20220705194502,192.168.1.2,37274,192.168.1.3,5001,1,39.0-40.0,185691520,1485532160
20220705194503,192.168.1.2,37274,192.168.1.3,5001,1,40.0-41.0,194727040,1557816320
20220705194504,192.168.1.2,37274,192.168.1.3,5001,1,41.0-42.0,156475224,1251801792
20220705194505,192.168.1.2,37274,192.168.1.3,5001,1,42.0-43.0,187197440,1497579520
20220705194506,192.168.1.2,37274,192.168.1.3,5001,1,43.0-44.0,192833056,1542664448
20220705194507,192.168.1.2,37274,192.168.1.3,5001,1,44.0-45.0,196664464,1573315712
20220705194508,192.168.1.2,37274,192.168.1.3,5001,1,45.0-46.0,193141480,1545131840
20220705194509,192.168.1.2,37274,192.168.1.3,5001,1,46.0-47.0,193339856,1546718848
20220705194510,192.168.1.2,37274,192.168.1.3,5001,1,47.0-48.0,195080352,1560642816
