Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220706200640,192.168.1.2,54076,192.168.1.3,5001,1,0.0-1.0,142273372,1138186976
20220706200641,192.168.1.2,54076,192.168.1.3,5001,1,1.0-2.0,178076488,1424611904
20220706200642,192.168.1.2,54076,192.168.1.3,5001,1,2.0-3.0,174835864,1398686912
20220706200643,192.168.1.2,54076,192.168.1.3,5001,1,3.0-4.0,165562872,1324502976
20220706200644,192.168.1.2,54076,192.168.1.3,5001,1,4.0-5.0,194857360,1558858880
20220706200645,192.168.1.2,54076,192.168.1.3,5001,1,5.0-6.0,195045600,1560364800
20220706200646,192.168.1.2,54076,192.168.1.3,5001,1,6.0-7.0,168777432,1350219456
20220706200647,192.168.1.2,54076,192.168.1.3,5001,1,7.0-8.0,193037224,1544297792
20220706200648,192.168.1.2,54076,192.168.1.3,5001,1,8.0-9.0,184698192,1477585536
20220706200649,192.168.1.2,54076,192.168.1.3,5001,1,9.0-10.0,192779480,1542235840
20220706200650,192.168.1.2,54076,192.168.1.3,5001,1,10.0-11.0,140347400,1122779200
20220706200651,192.168.1.2,54076,192.168.1.3,5001,1,11.0-12.0,174848896,1398791168
20220706200652,192.168.1.2,54076,192.168.1.3,5001,1,12.0-13.0,62530432,500243456
20220706200653,192.168.1.2,54076,192.168.1.3,5001,1,13.0-14.0,24545048,196360384
20220706200654,192.168.1.2,54076,192.168.1.3,5001,1,14.0-15.0,84374960,674999680
20220706200655,192.168.1.2,54076,192.168.1.3,5001,1,15.0-16.0,150765760,1206126080
20220706200656,192.168.1.2,54076,192.168.1.3,5001,1,16.0-17.0,79794936,638359488
20220706200657,192.168.1.2,54076,192.168.1.3,5001,1,17.0-18.0,87915320,703322560
20220706200658,192.168.1.2,54076,192.168.1.3,5001,1,18.0-19.0,172086112,1376688896
20220706200659,192.168.1.2,54076,192.168.1.3,5001,1,19.0-20.0,132843864,1062750912
20220706200700,192.168.1.2,54076,192.168.1.3,5001,1,20.0-21.0,193612080,1548896640
20220706200701,192.168.1.2,54076,192.168.1.3,5001,1,21.0-22.0,200566824,1604534592
20220706200702,192.168.1.2,54076,192.168.1.3,5001,1,22.0-23.0,190142672,1521141376
20220706200703,192.168.1.2,54076,192.168.1.3,5001,1,23.0-24.0,185975328,1487802624
20220706200704,192.168.1.2,54076,192.168.1.3,5001,1,24.0-25.0,111278800,890230400
20220706200705,192.168.1.2,54076,192.168.1.3,5001,1,25.0-26.0,128281216,1026249728
20220706200706,192.168.1.2,54076,192.168.1.3,5001,1,26.0-27.0,139969472,1119755776
20220706200707,192.168.1.2,54076,192.168.1.3,5001,1,27.0-28.0,62101824,496814592
20220706200708,192.168.1.2,54076,192.168.1.3,5001,1,28.0-29.0,42630568,341044544
20220706200709,192.168.1.2,54076,192.168.1.3,5001,1,29.0-30.0,23666112,189328896
20220706200710,192.168.1.2,54076,192.168.1.3,5001,1,30.0-31.0,23700864,189606912
20220706200711,192.168.1.2,54076,192.168.1.3,5001,1,31.0-32.0,169233552,1353868416
20220706200712,192.168.1.2,54076,192.168.1.3,5001,1,32.0-33.0,125903600,1007228800
20220706200713,192.168.1.2,54076,192.168.1.3,5001,1,33.0-34.0,120989088,967912704
20220706200714,192.168.1.2,54076,192.168.1.3,5001,1,34.0-35.0,97475016,779800128
20220706200715,192.168.1.2,54076,192.168.1.3,5001,1,35.0-36.0,146999512,1175996096
20220706200716,192.168.1.2,54076,192.168.1.3,5001,1,36.0-37.0,182840408,1462723264
20220706200717,192.168.1.2,54076,192.168.1.3,5001,1,37.0-38.0,175061752,1400494016
20220706200718,192.168.1.2,54076,192.168.1.3,5001,1,38.0-39.0,197417424,1579339392
20220706200719,192.168.1.2,54076,192.168.1.3,5001,1,39.0-40.0,196602200,1572817600
20220706200720,192.168.1.2,54076,192.168.1.3,5001,1,40.0-41.0,190100680,1520805440
20220706200721,192.168.1.2,54076,192.168.1.3,5001,1,41.0-42.0,119079176,952633408
20220706200722,192.168.1.2,54076,192.168.1.3,5001,1,42.0-43.0,131019384,1048155072
20220706200723,192.168.1.2,54076,192.168.1.3,5001,1,43.0-44.0,103083120,824664960
20220706200724,192.168.1.2,54076,192.168.1.3,5001,1,44.0-45.0,36786440,294291520
20220706200725,192.168.1.2,54076,192.168.1.3,5001,1,45.0-46.0,19138216,153105728
20220706200726,192.168.1.2,54076,192.168.1.3,5001,1,46.0-47.0,87666264,701330112
20220706200727,192.168.1.2,54076,192.168.1.3,5001,1,47.0-48.0,140209840,1121678720
20220706200728,192.168.1.2,54076,192.168.1.3,5001,1,48.0-49.0,103294528,826356224
20220706200729,192.168.1.2,54076,192.168.1.3,5001,1,49.0-50.0,58005432,464043456
20220706200730,192.168.1.2,54076,192.168.1.3,5001,1,50.0-51.0,122907688,983261504
20220706200731,192.168.1.2,54076,192.168.1.3,5001,1,51.0-52.0,177944720,1423557760
20220706200732,192.168.1.2,54076,192.168.1.3,5001,1,52.0-53.0,193693168,1549545344
20220706200733,192.168.1.2,54076,192.168.1.3,5001,1,53.0-54.0,194314360,1554514880
20220706200734,192.168.1.2,54076,192.168.1.3,5001,1,54.0-55.0,194828400,1558627200
20220706200735,192.168.1.2,54076,192.168.1.3,5001,1,55.0-56.0,163793416,1310347328
20220706200736,192.168.1.2,54076,192.168.1.3,5001,1,56.0-57.0,106545288,852362304
20220706200737,192.168.1.2,54076,192.168.1.3,5001,1,57.0-58.0,181383720,1451069760
20220706200738,192.168.1.2,54076,192.168.1.3,5001,1,58.0-59.0,94332856,754662848
20220706200739,192.168.1.2,54076,192.168.1.3,5001,1,59.0-60.0,51503912,412031296
20220706200740,192.168.1.2,54076,192.168.1.3,5001,1,60.0-61.0,30180664,241445312
20220706200741,192.168.1.2,54076,192.168.1.3,5001,1,61.0-62.0,81447104,651576832
20220706200742,192.168.1.2,54076,192.168.1.3,5001,1,62.0-63.0,149151240,1193209920
20220706200743,192.168.1.2,54076,192.168.1.3,5001,1,63.0-64.0,129901528,1039212224
20220706200744,192.168.1.2,54076,192.168.1.3,5001,1,64.0-65.0,93365592,746924736
20220706200745,192.168.1.2,54076,192.168.1.3,5001,1,65.0-66.0,187478352,1499826816
20220706200746,192.168.1.2,54076,192.168.1.3,5001,1,66.0-67.0,168996080,1351968640
20220706200747,192.168.1.2,54076,192.168.1.3,5001,1,67.0-68.0,191083872,1528670976
20220706200748,192.168.1.2,54076,192.168.1.3,5001,1,68.0-69.0,184505608,1476044864
20220706200749,192.168.1.2,54076,192.168.1.3,5001,1,69.0-70.0,180959456,1447675648
20220706200750,192.168.1.2,54076,192.168.1.3,5001,1,70.0-71.0,127587624,1020700992
20220706200751,192.168.1.2,54076,192.168.1.3,5001,1,71.0-72.0,143451912,1147615296
20220706200752,192.168.1.2,54076,192.168.1.3,5001,1,72.0-73.0,85873640,686989120
20220706200753,192.168.1.2,54076,192.168.1.3,5001,1,73.0-74.0,76865632,614925056
20220706200754,192.168.1.2,54076,192.168.1.3,5001,1,74.0-75.0,50406328,403250624
20220706200755,192.168.1.2,54076,192.168.1.3,5001,1,75.0-76.0,23033336,184266688
20220706200756,192.168.1.2,54076,192.168.1.3,5001,1,76.0-77.0,130312760,1042502080
20220706200757,192.168.1.2,54076,192.168.1.3,5001,1,77.0-78.0,87632960,701063680
